Precinct                                         		 $# Likely Voters      		 # Unlikely Voters 
==============================================================================================================
01044A                                           		 377                  		 410        
01048C                                           		 357                  		 353        
01043D                                           		 335                  		 227        
01043C                                           		 325                  		 200        
01048D                                           		 310                  		 302        
01051A                                           		 309                  		 395        
01043E                                           		 283                  		 212        
01048E                                           		 275                  		 397        
01049F                                           		 263                  		 423        
01044C                                           		 262                  		 287        
01042A                                           		 261                  		 311        
01053A                                           		 258                  		 674        
01049D                                           		 256                  		 458        
01048A                                           		 254                  		 400        
01047D                                           		 254                  		 348        
01044D                                           		 253                  		 326        
01047A                                           		 239                  		 423        
01043B                                           		 239                  		 349        
01047C                                           		 231                  		 318        
01052C                                           		 220                  		 575        
01044G                                           		 214                  		 300        
01042D                                           		 204                  		 263        
01044E                                           		 200                  		 284        
01045K                                           		 196                  		 613        
01047B                                           		 189                  		 490        
01048B                                           		 180                  		 272        
01052A                                           		 179                  		 511        
01050E                                           		 179                  		 241        
01044B                                           		 178                  		 208        
01042C                                           		 177                  		 295        
01045D                                           		 173                  		 361        
01045A                                           		 171                  		 416        
01044H                                           		 171                  		 168        
01047E                                           		 170                  		 343        
01046F                                           		 169                  		 617        
01051D                                           		 166                  		 405        
01049H                                           		 166                  		 372        
01046A                                           		 164                  		 515        
01051C                                           		 162                  		 502        
01040C                                           		 162                  		 299        
01045I                                           		 161                  		 420        
01046C                                           		 160                  		 404        
01045C                                           		 159                  		 481        
01049B                                           		 159                  		 471        
01052F                                           		 157                  		 384        
01051B                                           		 157                  		 376        
01052B                                           		 153                  		 468        
01045H                                           		 153                  		 450        
01043A                                           		 152                  		 351        
01045J                                           		 150                  		 454        
01053C                                           		 148                  		 406        
01052D                                           		 144                  		 273        
01053D                                           		 142                  		 496        
01046I                                           		 139                  		 282        
01047F                                           		 139                  		 282        
01046D                                           		 137                  		 476        
01044F                                           		 137                  		 213        
01045E                                           		 125                  		 356        
01049C                                           		 125                  		 327        
01045F                                           		 121                  		 399        
01053B                                           		 121                  		 337        
01046E                                           		 120                  		 314        
01046B                                           		 118                  		 350        
01052E                                           		 118                  		 302        
01050B                                           		 116                  		 463        
01049A                                           		 115                  		 404        
01050C                                           		 113                  		 569        
01052G                                           		 112                  		 244        
01050A                                           		 111                  		 422        
01045B                                           		 108                  		 324        
01046G                                           		 106                  		 621        
01050D                                           		 104                  		 444        
01046L                                           		 102                  		 254        
01049G                                           		 95                   		 221        
01046J                                           		 94                   		 392        
01045L                                           		 92                   		 352        
01042E                                           		 92                   		 144        
01049E                                           		 91                   		 283        
01046H                                           		 90                   		 328        
01042B                                           		 71                   		 98         
01045G                                           		 66                   		 319        
01045N                                           		 64                   		 248        
01046K                                           		 63                   		 275        
01045M                                           		 57                   		 323        
01040A                                           		 41                   		 92         
01053E                                           		 32                   		 101        
01040B                                           		 30                   		 96         
01041A                                           		 29                   		 20         
01041C                                           		 11                   		 23         
01041E                                           		 11                   		 18         
01039C                                           		 9                    		 14         
01039D                                           		 5                    		 34         
01041B                                           		 3                    		 3          
01041F                                           		 1                    		 5          
01041G                                           		 1                    		 3          
01041D                                           		 1                    		 1          
01041I                                           		 0                    		 5          
01041H                                           		 0                    		 2          
